,Unnecessary Abstraction,Unutilized Abstraction,Deficient Encapsulation,Feature Envy,Cyclically-dependent Modularization,Insufficient Modularization,Hub-like Modularization,Broken Hierarchy,Broken Modularization,Wide Hierarchy,Multifaceted Abstraction,Multipath Hierarchy
Unnecessary Abstraction,1.0,0.96,0.13,0.0,0.0,0.23,0.0,0.27,0.0,0.06,0.02,0.0
Unutilized Abstraction,0.13,1.0,0.05,0.12,0.01,0.07,0.0,0.2,0.01,0.01,0.0,0.0
Deficient Encapsulation,0.2,0.59,1.0,0.3,0.1,0.11,0.0,0.14,0.11,0.05,0.01,0.0
Feature Envy,0.0,0.6,0.14,1.0,0.1,0.18,0.02,0.21,0.0,0.0,0.01,0.0
Cyclically-dependent Modularization,0.0,0.35,0.33,0.72,1.0,0.61,0.17,0.18,0.0,0.0,0.01,0.0
Insufficient Modularization,0.33,0.74,0.11,0.37,0.18,1.0,0.05,0.45,0.0,0.09,0.05,0.0
Hub-like Modularization,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Broken Hierarchy,0.11,0.59,0.03,0.12,0.01,0.12,0.0,1.0,0.01,0.04,0.01,0.01
Broken Modularization,0.01,0.23,0.31,0.0,0.0,0.01,0.0,0.08,1.0,0.01,0.01,0.0
Wide Hierarchy,0.63,1.0,0.37,0.0,0.0,0.63,0.0,1.0,0.02,1.0,0.26,0.0
Multifaceted Abstraction,0.36,0.49,0.14,0.14,0.02,0.49,0.0,0.37,0.03,0.36,1.0,0.0
Multipath Hierarchy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
