,Deficient Encapsulation,Cyclically-dependent Modularization,Insufficient Modularization,Feature Envy,Missing Hierarchy,Unutilized Abstraction,Unnecessary Abstraction,Broken Hierarchy,Multipath Hierarchy,Broken Modularization,Cyclic Hierarchy,Multifaceted Abstraction,Unexploited Encapsulation
Deficient Encapsulation,1.0,0.3,0.42,0.31,0.02,0.69,0.19,0.39,0.03,0.1,0.02,0.03,0.0
Cyclically-dependent Modularization,0.72,1.0,0.7,0.54,0.04,0.79,0.27,0.47,0.08,0.19,0.04,0.08,0.0
Insufficient Modularization,0.8,0.55,1.0,0.42,0.03,0.87,0.33,0.43,0.06,0.15,0.03,0.06,0.0
Feature Envy,0.66,0.47,0.47,1.0,0.04,0.73,0.3,0.38,0.07,0.16,0.0,0.0,0.0
Missing Hierarchy,1.0,0.93,0.96,1.0,1.0,1.0,0.93,1.0,0.93,0.93,0.0,0.0,0.07
Unutilized Abstraction,0.54,0.25,0.36,0.27,0.01,1.0,0.16,0.27,0.02,0.08,0.01,0.03,0.0
Unnecessary Abstraction,0.85,0.49,0.77,0.63,0.07,0.93,1.0,0.56,0.14,0.28,0.0,0.0,0.0
Broken Hierarchy,0.61,0.3,0.35,0.28,0.03,0.54,0.19,1.0,0.02,0.07,0.0,0.0,0.0
Multipath Hierarchy,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0
Broken Modularization,1.0,0.82,0.82,0.81,0.16,1.0,0.66,0.5,0.32,1.0,0.0,0.0,0.0
Cyclic Hierarchy,0.93,0.87,0.87,0.0,0.0,1.0,0.0,0.07,0.0,0.0,1.0,0.87,0.0
Multifaceted Abstraction,1.0,1.0,1.0,0.0,0.0,0.98,0.0,0.02,0.0,0.0,0.47,1.0,0.0
Unexploited Encapsulation,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
