,Cyclically-dependent Modularization,Unutilized Abstraction,Insufficient Modularization,Broken Hierarchy,Hub-like Modularization,Feature Envy,Broken Modularization,Deficient Encapsulation,Unnecessary Abstraction,Cyclic Hierarchy,Wide Hierarchy,Multifaceted Abstraction,Rebellious Hierarchy
Cyclically-dependent Modularization,1.0,0.83,0.71,0.63,0.06,0.65,0.09,0.7,0.11,0.06,0.05,0.03,0.0
Unutilized Abstraction,0.17,1.0,0.21,0.36,0.02,0.39,0.03,0.24,0.05,0.02,0.01,0.01,0.0
Insufficient Modularization,0.35,0.51,1.0,0.51,0.04,0.71,0.04,0.42,0.06,0.03,0.03,0.01,0.0
Broken Hierarchy,0.24,0.69,0.39,1.0,0.03,0.37,0.03,0.34,0.06,0.02,0.02,0.01,0.0
Hub-like Modularization,0.68,1.0,1.0,1.0,1.0,0.54,0.0,0.93,0.07,0.0,0.0,0.0,0.0
Feature Envy,0.1,0.29,0.21,0.14,0.01,1.0,0.02,0.12,0.02,0.01,0.01,0.0,0.0
Broken Modularization,0.53,0.98,0.51,0.47,0.0,0.72,1.0,0.57,0.28,0.0,0.0,0.15,0.0
Deficient Encapsulation,0.35,0.62,0.43,0.45,0.04,0.42,0.05,1.0,0.06,0.03,0.03,0.01,0.01
Unnecessary Abstraction,0.38,0.82,0.38,0.55,0.02,0.38,0.16,0.42,1.0,0.0,0.0,0.09,0.0
Cyclic Hierarchy,0.7,1.0,0.7,0.7,0.0,0.7,0.0,0.7,0.0,1.0,0.41,0.0,0.0
Wide Hierarchy,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.69,1.0,0.0,0.0
Multifaceted Abstraction,1.0,1.0,0.89,0.89,0.0,0.89,0.89,0.89,0.89,0.0,0.0,1.0,0.0
Rebellious Hierarchy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
