,Unutilized Abstraction,Insufficient Modularization,Cyclically-dependent Modularization,Deficient Encapsulation,Unexploited Encapsulation,Missing Hierarchy,Rebellious Hierarchy,Broken Hierarchy,Multifaceted Abstraction,Feature Envy,Unnecessary Abstraction,Cyclic Hierarchy,Multipath Hierarchy,Wide Hierarchy,Broken Modularization
Unutilized Abstraction,1.0,0.25,0.1,0.18,0.01,0.01,0.01,0.39,0.02,0.0,0.14,0.04,0.02,0.02,0.01
Insufficient Modularization,0.77,1.0,0.29,0.42,0.03,0.03,0.03,0.65,0.05,0.01,0.15,0.11,0.05,0.05,0.02
Cyclically-dependent Modularization,0.81,0.75,1.0,0.42,0.09,0.09,0.09,0.82,0.14,0.02,0.19,0.28,0.13,0.14,0.05
Deficient Encapsulation,0.9,0.68,0.26,1.0,0.0,0.0,0.03,0.53,0.03,0.01,0.05,0.18,0.08,0.09,0.03
Unexploited Encapsulation,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Missing Hierarchy,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.26,0.22,0.5,0.5,0.5,0.5
Broken Hierarchy,0.63,0.35,0.17,0.17,0.02,0.02,0.02,1.0,0.03,0.01,0.07,0.06,0.03,0.03,0.01
Multifaceted Abstraction,1.0,0.75,0.75,0.25,0.5,0.5,0.5,0.75,1.0,0.13,0.11,0.25,0.25,0.25,0.25
Feature Envy,0.2,0.14,0.14,0.14,0.0,0.0,0.14,0.2,0.14,1.0,0.12,0.14,0.14,0.14,0.14
Unnecessary Abstraction,0.83,0.29,0.14,0.06,0.0,0.0,0.02,0.25,0.02,0.02,1.0,0.02,0.02,0.02,0.02
Cyclic Hierarchy,1.0,1.0,1.0,1.0,0.0,0.0,0.16,1.0,0.16,0.08,0.07,1.0,0.47,0.49,0.16
Multipath Hierarchy,1.0,1.0,1.0,1.0,0.0,0.0,0.35,1.0,0.35,0.18,0.15,1.0,1.0,1.0,0.35
Wide Hierarchy,1.0,1.0,1.0,1.0,0.0,0.0,0.33,1.0,0.33,0.17,0.15,1.0,0.96,1.0,0.33
Broken Modularization,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.52,0.44,1.0,1.0,1.0,1.0
