,Cyclically-dependent Modularization,Broken Hierarchy,Cyclic Hierarchy,Unutilized Abstraction,Insufficient Modularization,Deficient Encapsulation,Multifaceted Abstraction,Feature Envy,Broken Modularization,Unnecessary Abstraction,Hub-like Modularization
Cyclically-dependent Modularization,1.0,1.0,0.26,1.0,0.5,0.5,0.5,0.5,0.55,0.5,0.14
Broken Hierarchy,0.7,1.0,0.18,1.0,0.35,0.35,0.35,0.35,0.38,0.65,0.1
Cyclic Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.0,0.55
Unutilized Abstraction,0.22,0.32,0.06,1.0,0.42,0.23,0.11,0.42,0.12,0.21,0.03
Insufficient Modularization,0.14,0.14,0.07,0.53,1.0,0.29,0.14,1.0,0.03,0.0,0.04
Deficient Encapsulation,0.48,0.48,0.25,1.0,1.0,1.0,0.48,1.0,0.11,0.0,0.14
Multifaceted Abstraction,1.0,1.0,0.52,1.0,1.0,1.0,1.0,1.0,0.24,0.0,0.29
Feature Envy,0.07,0.07,0.04,0.27,0.5,0.15,0.07,1.0,0.02,0.0,0.02
Broken Modularization,1.0,1.0,0.22,1.0,0.22,0.22,0.22,0.22,1.0,0.78,0.22
Unnecessary Abstraction,0.54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1.0,0.0
Hub-like Modularization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,1.0
