,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.2,0.08,0.04,0.06,0.01,0.01,0.01
Unutilized Abstraction,0.12,0.03,0.02,0.03,0.0,0.0,0.0
Feature Envy,0.17,0.16,0.07,0.07,0.04,0.04,0.0
Broken Hierarchy,0.09,0.05,0.02,0.05,0.0,0.0,0.01
Broken Modularization,0.43,0.22,0.13,0.19,0.01,0.01,0.05
Insufficient Modularization,0.12,0.14,0.07,0.1,0.02,0.02,0.0
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnecessary Abstraction,0.19,0.07,0.04,0.07,0.0,0.0,0.0
Multifaceted Abstraction,0.63,0.36,0.31,0.3,0.0,0.0,0.07
Cyclically-dependent Modularization,0.29,0.27,0.07,0.07,0.04,0.04,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
